Region,Country,Happiness Score
Western Europe,Austria,7.119
Western Europe,Belgium,6.929
Western Europe,Cyprus,5.546
Western Europe,Denmark,7.526
Western Europe,Finland,7.413
Western Europe,France,6.478
Western Europe,Germany,6.994
Western Europe,Greece,5.033
Western Europe,Iceland,7.501
Western Europe,Ireland,6.907
Western Europe,Italy,5.977
Western Europe,Luxembourg,6.871
Western Europe,Malta,6.488
Western Europe,Netherlands,7.339
Western Europe,North Cyprus,5.771
Western Europe,Norway,7.498
Western Europe,Portugal,5.123
Western Europe,Spain,6.361
Western Europe,Sweden,7.291
Western Europe,Switzerland,7.509
Western Europe,United Kingdom,6.725
